1403638522627829504,0.10647,-1.20353,0.36506,0.91546,-0.26807,-0.05865,-0.29433,-1.17482,9.36684,-2.56522,
1403638522727829504,0.06769,-0.95102,0.36684,0.56233,-0.35065,-0.00979,0.74882,-1.13604,5.17261,-1.71092,
1403638522827829504,0.05414,-0.85392,0.41514,0.98110,-0.05881,-0.00762,-0.18417,-1.68552,3.84771,-1.66106,
1403638522927829504,0.00175,-0.75028,0.40622,-0.19428,-0.24699,0.19028,0.93008,-1.29382,2.23284,-0.66948,
1403638523027829504,-0.02563,-0.66282,0.45697,0.53911,0.09313,-0.08260,-0.83298,-1.36906,0.94893,-1.00885,
1403638523127829504,-0.05371,-0.59778,0.44292,0.79686,-0.05927,-0.00548,-0.60122,-1.16217,-0.02966,-0.55805,
1403638523227829504,-0.07026,-0.58099,0.39324,0.78471,-0.06853,0.01333,-0.61593,-1.07001,-0.24578,0.12142,
1403638523327829504,-0.08347,-0.56425,0.34425,0.63332,-0.03816,0.03876,-0.77198,-0.96316,-0.38585,0.36010,
1403638523427829504,-0.09811,-0.53977,0.29577,-0.46603,0.04857,-0.07962,0.87984,-0.84781,-0.68243,0.33390,
1403638523527829504,-0.11493,-0.51699,0.24784,-0.34607,0.12450,-0.12617,0.92131,-0.75252,-0.95188,0.18567,
1403638523627829504,-0.13152,-0.49998,0.19555,-0.26844,0.24420,-0.15918,0.91813,-0.66362,-1.13224,0.09809,
1403638523727829504,-0.14624,-0.48854,0.13981,-0.22564,0.37437,-0.16002,0.88506,-0.59098,-1.19402,0.13489,
1403638523827829504,-0.16005,-0.48259,0.08247,-0.21575,0.48921,-0.11548,0.83713,-0.56109,-1.13475,0.29385,
1403638523927829504,-0.17651,-0.48275,0.03060,-0.22972,0.57310,-0.02018,0.78637,-0.51210,-0.97318,0.54067,
1403638524027829504,-0.19503,-0.48815,-0.00529,-0.26550,0.61307,0.11926,0.73446,-0.39149,-0.66834,0.84103,
1403638524127829504,-0.21044,-0.49872,-0.01262,-0.30399,0.61312,0.25433,0.68337,-0.26107,-0.27822,1.14295,
1403638524227829504,-0.21975,-0.51033,0.01364,-0.33750,0.59317,0.35232,0.64040,-0.15559,0.11118,1.38457,
1403638524327829504,-0.22347,-0.51950,0.06184,-0.37258,0.55943,0.42631,0.60537,-0.10566,0.44468,1.50781,
1403638524427829504,-0.22405,-0.52534,0.12233,-0.41642,0.51309,0.49081,0.56784,-0.08045,0.71887,1.52031,
